ID;Nome;DataNascimento;Género;ÁreaResidência;Função;Email;Password;Supervisor
1;João Felgueiras;1953-8-14;M;Guimarães;Diretor do Departamento de Informático;joaofelgueiras@ltr.com;eD6cf(7w(Yq%($M2;1
2;Hélio Fernandes;1953-6-11;M;Guimarães;Gestor de imóveis;heliofernandes@ltr.com;*7V8fmpSD6F^KUs@;1
3;Mário Rebelo;1953-8-14;M;Porto;Gestor de imóveis;mariorebelo@ltr.com;P(*P!9#nhvp3QW5&;1
4;Luís Cruz;1953-6-11;M;Braga;Analista de dados de imóveis;luiscruz@ltr.com;C79KCf@!EY%FeK^6;1
5;Nádia Melo-Martins;1953-8-14;F;Braga;Analista de dados de imóveis;nadiamelomartins@ltr.com;BgHnNnx+2e#xnd(A;1
6;Álvaro Sousa;1976-8-2;M;Guimarães;Analista de dados de imóveis;alvarosousa@ltr.com;yPI2nCwT&Zzq8WS9;3
7;Gonçalo Ribeiro;1968-9-16;M;Braga;Analista de dados de imóveis;golcaloribeiro@ltr.com;2KHIj6cS724prc&P;2
8;Melissa Tavares;1974-11-27;F;Porto;Analista de dados de imóveis;melisatavares@ltr.com;PkXcc2%*Vq(V&(PL;1
9;Erika Ramos;1978-10-22;F;Guimarães;Analista de dados de imóveis;erikaramos@ltr.com;#5D*Ve!(RNktbx#h;1
10;Ivo Azevedo;1980-5-26;M;Porto;Analista de dados de imóveis;ivoazevedo@ltr.com;VyggP9xX2c3P5dIf;3
11;Henrique de Nunes;1983-7-13;M;Porto;Analista de dados de imóveis;henriquedenunes@ltr.com;e@6dFFRvMs3d^QKG;1
12;Diego Miranda;1987-10-2;M;Braga;Analista de dados de imóveis;diegomiranda@ltr.com;WsvE@$+kM+H+6Dv9;3
13;Margarida Costa;1978-2-5;F;Lisboa;Analista de dados de imóveis;margaridacosta@ltr.com;SsK53Apk#3#z^yd%;1
14;Marco Moreira;1963-7-19;M;Lisboa;Analista de dados de imóveis;marcomoreira@ltr.com;*9KmVmTXeywHbx^F;2
15;Tomé Nogueira;1950-8-22;M;Viana de Castelo;Agente imobiliário;tomenogueira@ltr.com;wcYE^f3)FCjZFre9;2
16;Mário Neto;1960-2-4;M;Lisboa;Agente imobiliário;marioneto@ltr.com;P&EUpRs4BGe#$J!R;1
17;Alexandra Reis;1981-1-9;F;Guimarães;Agente imobiliário;alexandrareis@ltr.com;WIrk(WzTPVdYbUrE;1
18;Raquel Moreira;1951-2-3;F;Braga;Gestor de dados;raquelmoreira@ltr.com;NWXNq#9Tmt2GjKCY;2
19;Violeta Vaz;1958-9-29;F;Guimarães;Gestor de dados;violetavaz@ltr.com;2z9B8!*(CucZJzL8;2
