ID;Nome;DataNascimento;Género;ÁreaResidência;Profissão
1;LTR;1953-7-18;M;Guimarães;Empresa
2;Luísa Almeida;1990-9-19;F;Setúbal;Agente de compras, de vendas e corretores comerciais
3;Bárbara Cardoso;1977-4-11;F;Setúbal;Técnico das telecomunicações e da radiodifusão
4;Bárbara Reis;1952-2-16;F;Braga;Especialista em ciências da vida
5;Petra Rodrigues;1952-12-12;F;Lisboa;Operador de instalações de transformação e acabamento, de metais
6;Enzo Leal;1992-10-13;M;Porto;Especialista em ciências sociais e religiosas
7;Lourenço Andrade;1984-6-8;M;Porto;Pessoal de recepção e de informação a clientes
8;Nelson Simões;1962-1-14;M;Braga;Arquitecto, urbanista e designer
9;Marta-Júlia Santos;1951-8-17;F;Faro;Professor dos ensinos básico (2º e 3º ciclos) e secundário
10;Eduardo Jesus;1955-10-7;M;Braga;Técnico das telecomunicações e da radiodifusão
11;Ariana Almeida;1965-2-1;F;Lisboa;Autor, jornalista e linguista
12;Matilde Pinheiro;1968-9-13;F;Lisboa;Operador de dados, de contabilidade, estatística e serviços financeiros
13;Joaquim Neves;1972-2-4;M;Braga;Engenheiro Informático
14;Joana Mota;1998-7-1;F;Setúbal;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
15;Tiago Neto;1994-9-23;M;Lisboa;Trabalhador qualificado da floresta e similares
16;Joel Campos;1989-2-20;M;Porto;Operador de dados, de contabilidade, estatística e serviços financeiros
17;César da Freitas;1984-8-30;M;Setúbal;Trabalhador da impressão
18;Pedro Baptista;1979-3-20;M;Setúbal;Operador de instalações de transformação e acabamento, de metais
19;Patrícia Domingues-Tavares;1977-11-7;F;Setúbal;Professor dos ensinos básico (2º e 3º ciclos) e secundário
20;Vasco Figueiredo;1980-3-14;M;Braga;Pintor, limpador de fachadas e similares
21;Leonor Batista;1972-7-20;F;Braga;Operador de dados, de contabilidade, estatística e serviços financeiros
22;Emma Henriques;1976-6-18;F;Faro;Outras profissões elementares
23;Henrique Barbosa;1957-2-14;M;Braga;Trabalhador não qualificado de apoio, aos transportes e armazenagem
24;Hugo Vieira;1961-5-20;M;Porto;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
25;Enzo Lima;1970-5-7;M;Lisboa;Profissional de enfermagem
26;Kevin Abreu;1984-12-19;M;Braga;Trabalhador de cuidados pessoais nos serviços de saúde
27;Hugo Jesus;1982-9-19;M;Setúbal;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
28;Érica Matias;1981-7-13;F;Braga;Trabalhador de outros ofícios
29;Afonso Costa;1961-4-5;M;Braga;Assistente de viagem, cobrador e guia intérprete
30;Luís da Oliveira;1986-7-22;M;Braga;Director geral e gestor executivo de empresas
31;Mauro Simões;1962-5-21;M;Porto;Profissional de nível intermédio da medicina tradicional e complementar
32;Edgar Ferreira;1965-6-8;M;Lisboa;Técnico de secretariado
33;André Gomes;1973-8-16;M;Braga;Técnico de nível intermédio da área financeira e matemática
34;Ricardo Nunes;1970-12-18;M;Faro;Profissional de saúde
35;Ana Miranda;1975-3-9;F;Faro;Professor dos ensinos básico (2º e 3º ciclos) e secundário
36;Amélia Gonçalves;1977-7-26;F;Setúbal;Administrativo e secretário especializado
37;Kevin Gaspar;1991-8-23;M;Porto;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
38;Filipe Leite;1964-7-26;M;Setúbal;Analista e programador, de software, Web e de aplicações
39;Benjamim Neto;1978-6-27;M;Faro;Trabalhador qualificado da transformação de alimentos
40;Margarida Ribeiro;1959-8-10;F;Lisboa;Vendedor em lojas
41;Salvador do Leal;1964-4-18;M;Faro;Profissional de nível intermédio da medicina tradicional e complementar
42;Ivan Magalhães;1955-5-3;M;Lisboa;Director e gerente de outros serviços
43;Jaime Almeida;1969-10-10;M;Lisboa;Arquitecto, urbanista e designer
44;Filipa Paiva;1953-3-17;F;Braga;Sargento das Forças Armadas
45;Eva Gomes;1965-8-9;F;Faro;Vendedor ambulante (excepto de alimentos)
